"Ngày","Lần cuối","Mở","Cao","Thấp","% Thay đổi"
"01/03/2022","1.724","1.468","1.780","1.431","24.66%"
"01/02/2022","1.383","0.637","1.383","0.634","120.22%"
"01/01/2022","0.628","0.727","0.727","0.628","-12.17%"
"01/12/2021","0.715","0.581","0.733","0.580","23.28%"
"01/11/2021","0.580","0.584","0.587","0.580","-0.85%"
"01/10/2021","0.585","0.615","0.622","0.585","-4.88%"
"01/09/2021","0.615","0.473","0.615","0.454","53.75%"
"01/08/2021","0.400","0.452","0.452","0.393","-11.70%"
"01/07/2021","0.453","0.520","0.520","0.453","-7.55%"
"01/06/2021","0.490","0.641","0.641","0.483","-23.68%"
"01/05/2021","0.642","0.377","0.642","0.374","68.95%"
"01/04/2021","0.380","0.398","0.410","0.377","8.88%"
"01/03/2021","0.349","0.375","0.376","0.347","-7.18%"
"01/02/2021","0.376","0.350","0.376","0.335","16.41%"
"01/01/2021","0.323","0.304","0.407","0.304","6.25%"
"01/12/2020","0.304","0.293","0.304","0.286","3.40%"
"01/11/2020","0.294","0.315","0.317","0.294","-6.67%"
"01/10/2020","0.315","0.369","0.369","0.306","17.98%"
"01/09/2020","0.267","0.413","0.423","0.267","-35.35%"
"01/08/2020","0.413","0.513","0.513","0.375","-19.49%"
"01/07/2020","0.513","0.597","0.597","0.501","-14.07%"
"01/06/2020","0.597","0.944","0.990","0.547","-36.83%"
"01/05/2020","0.945","1.872","1.896","0.945","-49.55%"
"01/04/2020","1.873","2.632","2.723","1.860","-28.84%"
"01/03/2020","2.632","1.849","2.632","1.501","45.33%"
"01/02/2020","1.811","1.515","1.967","1.515","19.54%"
"01/01/2020","1.515","1.482","1.545","1.100","2.16%"
"01/12/2019","1.483","2.140","2.187","1.483","-30.70%"
"01/11/2019","2.140","2.180","2.338","1.755","-1.83%"
"01/10/2019","2.180","2.864","2.864","2.180","-23.24%"
"01/09/2019","2.840","2.770","2.840","2.684","2.53%"
"01/08/2019","2.770","2.950","2.980","2.770","-5.46%"
"01/07/2019","2.930","3.214","3.218","2.744","-8.92%"
"01/06/2019","3.217","3.216","3.217","3.182","0.28%"
"01/05/2019","3.208","3.238","3.378","3.208","0.88%"
"01/04/2019","3.180","3.239","3.442","3.180","-1.82%"
"01/03/2019","3.239","2.945","3.346","2.913","9.98%"
"01/02/2019","2.945","3.343","3.348","2.718","-11.64%"
"01/01/2019","3.333","4.102","4.121","3.333","-18.33%"
"01/12/2018","4.081","4.149","4.149","3.949","-1.90%"
"01/11/2018","4.160","4.362","4.481","4.160","-4.63%"
"01/10/2018","4.362","4.201","4.397","4.064","3.81%"
"01/09/2018","4.202","4.264","4.412","3.902","-0.61%"
"01/08/2018","4.228","3.461","4.329","3.461","23.59%"
"01/07/2018","3.421","2.261","3.850","2.261","53.96%"
"01/06/2018","2.222","2.432","2.432","2.190","-8.63%"
"01/05/2018","2.432","2.554","2.671","2.209","-4.78%"
"01/04/2018","2.554","2.370","2.554","2.110","9.15%"
"01/03/2018","2.340","2.539","2.539","2.275","-7.80%"
"01/02/2018","2.538","2.908","3.035","2.503","-12.39%"
"01/01/2018","2.897","3.665","4.038","2.894","-20.95%"
"01/12/2017","3.665","3.955","3.999","3.183","-7.33%"
